Symbol,Year,Sector,Threshold,Initial_Capital,Final_Value,Total_Return,B&H_Return,Outperformance,Max_Drawdown,Sharpe_Ratio,Trades_Executed,Num_Trades,Win_Rate
JPM,2024,Finance,0.7,100000,104710.51959471554,0.04710519594715545,0.14946592949158025,-0.10236073354442479,-0.003589594631961268,4.711235248029055,5,4,0.5
JPM,2024,Finance,0.75,100000,102621.78615515653,0.026217861551565292,0.14946592949158025,-0.12324806794001496,-0.004524395750093431,2.94207862973844,4,3,0.3333333333333333
JPM,2024,Finance,0.8,100000,99929.92887093507,-0.0007007112906493421,0.14946592949158025,-0.15016664078222958,-0.0045245440519346754,-0.1757075755046908,3,2,0.0
JPM,2024,Finance,0.85,100000,99748.58939970944,-0.0025141060029056097,0.14946592949158025,-0.15198003549448585,-0.005521322361015336,-0.5495705264474319,3,2,0.0
BAC,2024,Finance,0.6,100000,105276.09966833812,0.05276099668338124,0.18016322031860066,-0.1274022236352194,-0.006761965537403795,5.135395430209954,5,5,0.8
BAC,2024,Finance,0.65,100000,107882.36270689787,0.07882362706897868,0.18016322031860066,-0.10133959324962198,-0.006761965537403801,6.34656691924555,5,5,0.8
BAC,2024,Finance,0.7,100000,107701.34945842707,0.07701349458427066,0.18016322031860066,-0.10314972573433,-0.006761965537403835,6.3193270006687,5,5,0.8
BAC,2024,Finance,0.75,100000,102161.7015527772,0.02161701552777202,0.18016322031860066,-0.15854620479082865,-0.006761965537403798,2.248402648727181,2,2,0.5
BAC,2024,Finance,0.8,100000,99213.93911997504,-0.007860608800249611,0.18016322031860066,-0.18802382911885027,-0.007860608800249611,-1.3841806060809438,1,1,0.0
BAC,2024,Finance,0.85,100000,99213.93911997504,-0.007860608800249611,0.18016322031860066,-0.18802382911885027,-0.007860608800249611,-1.3841806060809438,1,1,0.0
AMZN,2024,Consumer,0.6,100000,109331.33498104951,0.09331334981049513,0.25164422392128555,-0.15833087411079041,-0.00598175996498718,7.599784005981203,8,7,0.8571428571428571
AMZN,2024,Consumer,0.65,100000,113164.57308602327,0.13164573086023273,0.25164422392128555,-0.11999849306105281,-0.005981759964987229,8.763344167676433,8,7,0.8571428571428571
AMZN,2024,Consumer,0.7,100000,109025.79826884205,0.09025798268842045,0.25164422392128555,-0.1613862412328651,-0.005981759964987331,6.827812936449757,6,5,0.8
AMZN,2024,Consumer,0.75,100000,100374.50409336269,0.0037450409336268783,0.25164422392128555,-0.24789918298765867,-0.005981759964987261,0.5907808830900819,2,1,0.0
AMZN,2024,Consumer,0.8,100000,100386.2467925747,0.0038624679257470416,0.25164422392128555,-0.2477817559955385,-0.005981820834027718,0.6125057858375923,2,1,0.0
AMZN,2024,Consumer,0.85,100000,100466.6730937209,0.004666730937209067,0.25164422392128555,-0.24697749298407648,-0.007481849283180324,0.6917571615591557,2,1,0.0
