Date,Predicted_Price,Actual_Price,Predicted_Change,Actual_Change,Predicted_Change_Pct,Signal,Signal_Strength,Mean_Reversion_Signal,Signal_Source
2025-02-28,452.2337309966216,376.78009033203125,57.360623086465374,-18.093017578125,14.53,1,14.53,-0.02437270880694961,Model
2025-03-03,443.45758048392634,373.3883056640625,57.03915397025444,-13.030120849609375,14.76,1,14.76,-0.03152151153778743,Model
2025-03-04,445.9224605015346,380.1520080566406,59.38467973981585,-6.385772705078125,15.36,1,15.36,-0.01316085405013658,Model
2025-03-05,464.37406572614395,380.1023254394531,65.49244341169084,-18.779296875,16.42,1,16.42,-0.01087887724111486,Model
2025-03-06,422.58623928968166,371.12042236328125,27.81255764905668,-23.65325927734375,7.05,-1,7.05,-0.0312706848375436,Model
2025-03-07,409.046120697375,357.92120361328125,17.833382660265595,-33.291534423828125,4.56,-1,4.56,-0.06164722257650937,Model
2025-03-10,395.25576468802785,355.9517822265625,17.122921670449745,-22.181060791015625,4.53,-1,4.53,-0.06408917217691222,Model
2025-03-11,448.86464433942524,352.66937255859375,70.44328813825334,-25.751983642578125,18.62,1,18.62,-0.06956969437080952,Model
2025-03-12,438.8691680908203,388.40777587890625,57.642880249023435,7.181488037109375,15.12,1,15.12,0.023747357056937424,Model
2025-03-13,433.4909715972076,379.3165283203125,56.74072745658257,2.5662841796875,15.06,1,15.06,-0.0005529529324536682,Model
2025-03-14,434.6707305908203,386.378662109375,48.18266296386719,-0.109405517578125,12.47,-1,12.47,0.018069475239042152,Model
2025-03-17,429.0712837219238,385.7420654296875,42.443964385986334,-0.88525390625,10.98,-1,10.98,0.01651065950689617,Model
2025-03-18,438.3904779330671,383.6731872558594,56.91553286470772,2.1982421875,14.92,1,14.92,0.010765975183901114,Model
2025-03-19,425.2081204356248,369.6284484863281,39.456106275468514,-16.123565673828125,10.23,-1,10.23,-0.024161601745966613,Model
2025-03-20,427.36664954520563,365.8188781738281,42.589397347939986,-18.9583740234375,11.07,-1,11.07,-0.03179608281665222,Model
2025-03-21,432.58659180158816,357.2050476074219,43.41291626447877,-31.9686279296875,11.16,-1,11.16,-0.05057753874234017,Model
2025-03-24,397.633171892869,364.864013671875,6.6492241389627305,-26.11993408203125,1.7,-1,1.7,-0.026842561204025277,Model
2025-03-25,445.33399816363215,372.3936462402344,52.281111200741535,-20.65924072265625,13.3,-1,13.3,-0.004015656809117097,Model
2025-03-26,430.793222809822,385.2347717285156,42.90265884497825,-2.655792236328125,11.06,-1,11.06,0.03069459132601375,Model
2025-03-27,441.5537129608792,389.7605285644531,53.05642902533229,1.26324462890625,13.66,1,13.66,0.042627047576901785,Model
2025-03-28,422.61235451057297,389.07421875,45.83226417854171,12.29412841796875,12.16,-1,12.16,0.039082504287009205,Model
2025-03-31,427.19660839733774,391.9388732910156,53.80830273327526,18.550567626953125,14.41,1,14.41,0.044146541732307296,Model
2025-04-01,432.38427368784426,393.15234375,52.23226563120363,13.000335693359375,13.74,1,13.74,0.04556870264233217,Model
2025-04-02,435.302353810222,423.1316223144531,55.20002837076884,43.029296875,14.52,1,14.52,0.11889507741555583,Model
2025-04-03,435.04954893283843,432.9589538574219,63.92912656955721,61.838531494140625,17.23,1,17.23,0.13559699162188193,Model
2025-04-04,407.3747222075591,433.8442077636719,49.453518594277874,75.92300415039062,13.82,1,13.82,0.1267005408182917,Model
2025-04-07,418.6529261997768,430.99945068359375,62.701143973214286,75.04766845703125,17.62,1,17.62,0.10851022615143409,Model
2025-04-08,436.90104326520645,431.03924560546875,84.23167070661272,78.369873046875,23.88,1,23.88,0.09755125706924873,Model
2025-04-09,454.20652465820314,435.83355712890625,65.79874877929687,47.42578125,16.94,1,16.94,0.10309846914416648,Model
2025-04-10,404.3018005371094,436.3905334472656,24.985272216796876,57.074005126953125,6.59,-1,6.59,0.09658781253030073,Model
2025-04-11,413.10849759238107,446.8644104003906,26.72983548300607,60.485748291015625,6.92,-1,6.92,0.1144378964228982,Model
2025-04-14,400.5569902420044,446.74505615234375,14.814924812316894,61.00299072265625,3.84,-1,3.84,0.10572919207067646,Model
2025-04-15,409.01846953424916,450.5247802734375,25.345282278389764,66.85159301757812,6.61,-1,6.61,0.10593474524763613,Model
2025-04-16,386.1802229429506,451.54119873046875,16.55177445662249,81.91275024414062,4.48,-1,4.48,0.09739675824067731,Model
2025-04-17,363.52578889616245,452.6772155761719,-2.2930892776656933,86.85833740234375,-0.63,-1,0.63,0.08866705587876082,Model
2025-04-21,386.55900275890644,457.26104736328125,29.353955151484556,100.05599975585938,8.22,-1,8.22,0.08661732154395853,Model
2025-04-22,446.40408104301514,456.56353759765625,81.54006737114017,91.69952392578125,22.35,1,22.35,0.07326595439835283,Model
2025-04-23,429.6223594393049,450.983154296875,57.228713199070526,78.58950805664062,15.37,1,15.37,0.050444702146296434,Model
2025-04-24,432.2739017861521,453.26513671875,47.03913005763649,68.03036499023438,12.21,-1,12.21,0.04746101254722525,Model
2025-04-25,371.06492861614606,448.6015625,-18.69559994830705,58.841033935546875,-4.8,-1,4.8,0.029683181935669087,Model
2025-04-28,372.89989019483863,459.0746765136719,-16.174328555161342,70.00045776367188,-4.16,-1,4.16,0.04532452057202946,Model
2025-04-29,406.1083536917476,455.7563781738281,14.169480400731953,63.8175048828125,3.62,-1,3.62,0.030282942657615497,Model
2025-04-30,392.65326198389386,457.0717468261719,-0.49908176610612504,63.919403076171875,-0.13,-1,0.13,0.02584492987281756,Model
2025-05-01,391.1406313581227,458.7458190917969,-31.99099095633043,35.61419677734375,-7.56,1,7.56,0.025503666204312127,Model
2025-05-02,362.8673034667969,460.3502197265625,-70.091650390625,27.391265869140625,-16.19,1,16.19,0.02594918769966798,Model
2025-05-05,372.8349995930989,461.3467102050781,-61.00920817057292,27.50250244140625,-14.06,1,14.06,0.025028648256903457,Model
2025-05-06,394.4386125837054,462.2435302734375,-36.56083809988839,31.24407958984375,-8.48,1,8.48,0.02346882724136504,Model
2025-05-07,407.39256155831475,466.0401611328125,-23.64668404715402,35.00091552734375,-5.49,1,5.49,0.027892162057099764,Model
2025-05-08,403.1590209960938,468.730712890625,-32.6745361328125,32.89715576171875,-7.5,1,7.5,0.03008937063644303,Model
2025-05-09,390.7849945068359,471.0924072265625,-45.60553894042969,34.701873779296875,-10.45,1,10.45,0.03134686953901605,Model
2025-05-12,417.8149810791016,469.2688293457031,-29.04942932128906,22.4044189453125,-6.5,1,6.5,0.02484118703234152,Model
2025-05-13,339.4566589355469,470.9628601074219,-107.28839721679688,24.217803955078125,-24.02,-1,24.02,0.02582802126626882,Model
2025-05-14,347.2557647705078,477.1909484863281,-103.26901550292968,26.666168212890625,-22.92,-1,22.92,0.036383924787733196,Model
2025-05-15,338.16331481933594,473.2946472167969,-113.37788391113281,21.753448486328125,-25.11,-1,25.11,0.02549927955141974,Model
2025-05-16,349.161333993765,477.46002197265625,-103.51588158240685,24.782806396484375,-22.87,-1,22.87,0.03175436791360317,Model
2025-05-19,347.38772559532754,476.3638610839844,-109.87332176795371,19.102813720703125,-24.03,-1,24.03,0.0272653876885487,Model
2025-05-20,336.44822998046874,478.5561218261719,-120.11530761718751,21.992584228515625,-26.31,-1,26.31,0.02955154097478973,Model
2025-05-21,339.1789978027344,475.7261047363281,-111.80415649414061,24.742950439453125,-24.79,-1,24.79,0.020746345159252652,Model
2025-05-22,364.61202741350445,484.2959289550781,-88.65310930524555,31.030792236328125,-19.56,-1,19.56,0.035686393092806974,Model
2025-05-23,337.8891538179838,488.3915100097656,-110.7124086820162,39.789947509765625,-24.68,-1,24.68,0.04002006785573694,Model
2025-05-27,356.88988010280735,490.5439453125,-102.18479641086454,31.469268798828125,-22.26,-1,22.26,0.04111521392081763,Model
2025-05-28,334.9134946382963,495.705810546875,-120.84288353553184,39.949432373046875,-26.51,-1,26.51,0.04762930619010882,Model
2025-05-29,358.81508178710936,494.20111083984375,-98.2566650390625,37.129364013671875,-21.5,-1,21.5,0.04036740184556459,Model
2025-05-30,375.0649686327168,495.66595458984375,-83.6808504590801,36.920135498046875,-18.24,1,18.24,0.039411837389578236,Model
2025-06-02,365.5735188802083,490.3247375488281,-94.77670084635417,29.974517822265625,-20.59,1,20.59,0.02498993340633746,Model
2025-06-03,353.35682630812244,489.36810302734375,-107.98988389695572,28.021392822265625,-23.41,1,23.41,0.02000273122546313,Model
2025-06-04,353.02543005849805,497.0909423828125,-109.21810021493947,34.847412109375,-23.63,1,23.63,0.03235049232765926,Model
2025-06-05,344.12041541006056,495.974853515625,-121.91974572275197,29.9346923828125,-26.16,-1,26.16,0.026840790674732905,Model
