Date,Actual_Price,Signal,Shares_Held,Cash,Portfolio_Value,Daily_Return,Cumulative_Return
2025-08-01,505.7434387207031,-1,1.0,102233.2907409668,102739.0341796875,-2.944488525390625,2.7390341796874997
2025-08-04,504.1763610839844,1,41.0,82066.23629760742,102737.46710205078,-1.56707763671875,2.7374671020507813
2025-08-05,504.40594482421875,-1,21.0,92154.3551940918,102746.88003540039,9.412933349609375,2.7468800354003906
2025-08-06,507.02105712890625,-1,11.0,97224.56576538086,102801.79739379883,54.9173583984375,2.8017973937988283
2025-08-07,494.0752868652344,-1,6.0,99694.94219970703,102659.39392089844,-142.40347290039062,2.6593939208984376
2025-08-08,497.2693176269531,1,46.0,79804.1694946289,102678.55810546875,19.1641845703125,2.67855810546875
2025-08-11,497.4789123535156,-1,23.0,91246.18447875977,102688.19946289062,9.641357421875,2.688199462890625
2025-08-12,499.43524169921875,1,59.0,73266.51577758789,102733.1950378418,44.995574951171875,2.7331950378417966
2025-08-13,500.0740661621094,-1,30.0,87768.66369628906,102770.88568115234,37.690643310546875,2.770885681152344
2025-08-14,508.94744873046875,1,64.0,70464.45043945312,103037.08715820312,266.20147705078125,3.037087158203125
2025-08-15,514.397216796875,-1,32.0,86925.16137695312,103385.87231445312,348.78515625,3.385872314453125
2025-08-18,508.08905029296875,1,66.0,69650.13366699219,103184.01098632812,-201.861328125,3.184010986328125
2025-08-19,509.06719970703125,-1,33.0,86449.35125732422,103248.56884765625,64.557861328125,3.24856884765625
2025-08-20,507.5001525878906,-1,17.0,94569.35369873047,103196.85629272461,-51.712554931640625,3.1968562927246094
2025-08-21,516.96240234375,1,53.0,75958.70721435547,103357.71453857422,160.85824584960938,3.357714538574219
2025-08-22,513.4889526367188,1,82.0,61067.527587890625,103173.62170410156,-184.09283447265625,3.1736217041015626
2025-08-25,508.2787170410156,1,106.0,48868.83837890625,102746.3823852539,-427.23931884765625,2.746382385253906
2025-08-26,509.19696044921875,-1,53.0,75856.27728271484,102843.71618652344,97.33380126953125,2.8437161865234377
2025-08-27,506.0827941894531,1,82.0,61179.8762512207,102678.66537475586,-165.05081176757812,2.6786653747558598
2025-08-28,510.5045166015625,-1,41.0,82110.56143188477,103041.24661254883,362.58123779296875,3.041246612548828
2025-08-29,513.6386108398438,-1,21.0,92383.33364868164,103169.74447631836,128.49786376953125,3.169744476318359
2025-09-02,516.982421875,-1,11.0,97553.15786743164,103239.96450805664,70.22003173828125,3.2399645080566404
2025-09-03,518.7391357421875,1,48.0,78359.8098449707,103259.2883605957,19.3238525390625,3.2592883605957033
2025-09-04,514.7765502929688,-1,24.0,90714.44705200195,103069.0842590332,-190.2041015625,3.0690842590332035
2025-09-05,516.3834838867188,-1,12.0,96911.04885864258,103107.6506652832,38.56640625,3.107650665283203
2025-09-08,527.5825805664062,1,48.0,77918.07595825195,103242.03982543945,134.38916015625,3.242039825439453
