Date,Actual_Price,Signal,Shares_Held,Cash,Portfolio_Value,Daily_Return,Cumulative_Return
2025-03-20,560.54736328125,HOLD,166.0,536.4572670311021,93587.3195717186,1002.5648315215803,-6.412680428281398
2025-03-21,558.9264526367188,HOLD,166.0,536.5377356211568,93318.32887331647,-268.99069840213633,-6.681671126683534
2025-03-24,559.1107788085938,HOLD,166.0,536.6182162814999,93349.00749850806,30.67862519159098,-6.650992501491943
2025-03-25,569.1236572265625,BUY,166.0,536.6987090139422,95011.22580862332,1662.2183101152623,-4.98877419137668
2025-03-26,570.4917602539062,BUY,166.0,536.7792138202943,95238.41141596873,227.18560734541097,-4.761588584031269
2025-03-27,563.6810913085938,BUY,166.0,536.8597307023674,94107.92088792894,-1130.4905280397943,-5.892079112071063
2025-03-28,562.18408203125,BUY,166.0,536.9402596619727,93859.49787684948,-248.42301107945968,-6.140502123150523
2025-03-31,550.8626708984375,BUY,166.0,537.020800700922,91980.22416984155,-1879.273707007931,-8.019775830158455
2025-04-01,554.5604248046875,BUY,166.0,537.1013538210271,92594.13187139915,613.907701557604,-7.405868128600851
2025-04-02,556.1268310546875,HOLD,166.0,537.1819190241004,92854.23587410222,260.10400270306855,-7.145764125897782
2025-04-03,559.6461791992188,BUY,166.0,537.262496311954,93438.52824338227,584.2923692800541,-6.561471756617728
2025-04-04,532.0663452148438,SELL,166.0,537.3430856864009,88860.35639135046,-4578.17185203181,-11.139643608649537
2025-04-07,500.9176330566406,SELL,166.0,537.4236871492539,83689.75077455159,-5170.605616798872,-16.31024922544841
2025-04-08,500.0254211425781,SELL,166.0,537.5043007023262,83541.72421037029,-148.0265641813021,-16.458275789629713
2025-04-09,492.193603515625,SELL,166.0,537.5849263474315,82241.72310994119,-1300.001100429101,-17.758276890058813
2025-04-10,543.8834838867188,HOLD,166.0,537.6655640863836,90822.3238892817,8580.600779340515,-9.177676110718297
2025-04-11,520.051025390625,SELL,166.0,537.7462139209965,86866.21642876475,-3956.107460516956,-13.133783571235252
2025-04-14,529.3302001953125,HOLD,166.0,537.8268758530846,88406.64010827497,1540.4236795102188,-11.593359891725035
2025-04-15,534.4654541015625,HOLD,166.0,537.9075498844626,89259.17293074384,852.532822468871,-10.740827069256163
2025-04-16,532.9684448242188,HOLD,166.0,537.9882360169453,89010.75007683726,-248.4228539065807,-10.989249923162744
2025-04-17,521.1216430664062,SELL,166.0,538.0689342523478,87044.26168327579,-1966.4883935614635,-12.955738316724208
2025-04-21,521.8651733398438,HOLD,166.0,538.1496445924857,87167.76841900655,123.50673573075619,-12.832231580993453
2025-04-22,509.4433898925781,HOLD,166.0,538.2303670391747,85105.83308920714,-2061.9353297994094,-14.894166910792862
2025-04-23,522.6979370117188,HOLD,166.0,538.3111015942305,87306.16864553954,2200.3355563324003,-12.69383135446046
2025-04-24,530.79736328125,HOLD,166.0,538.3918482594697,88650.75415294697,1344.5855074074352,-11.349245847053027
2025-04-25,541.9700927734375,BUY,166.0,538.4726070367086,90505.50800742733,1854.7538544803538,-9.494491992572671
2025-04-28,545.8860473632812,BUY,166.0,538.5533779277641,91155.63724023245,650.1292328051204,-8.844362759767552
2025-04-29,546.0941772460938,BUY,166.0,538.6341609344533,91190.26758378602,34.63034355356649,-8.809732416213985
2025-04-30,549.5342407226562,BUY,166.0,538.7149560585935,91761.39891601953,571.1313322335191,-8.238601083980464
2025-05-01,549.7523193359375,SELL,166.0,538.7957633020023,91797.68077306762,36.28185704808857,-8.202319226932376
2025-05-02,553.6483764648438,SELL,166.0,538.8765826664976,92444.50707583057,646.8263027629437,-7.5554929241694335
2025-05-05,561.8668823242188,SELL,166.0,538.9574141538976,93808.8598799742,1364.3528041436366,-6.191140120025797
2025-05-06,558.6448974609375,SELL,166.0,539.0382577660207,93274.09123628165,-534.7686436925578,-6.725908763718355
2025-05-07,553.9755249023438,SELL,166.0,539.1191135046856,92499.05624729375,-775.0349889878999,-7.500943752706254
2025-05-08,556.3052978515625,HOLD,166.0,539.1999813717114,92885.87942473109,386.82317743734166,-7.114120575268913
2025-05-09,560.1814575195312,HOLD,166.0,539.2808613689172,93529.4028096111,643.5233848800126,-6.470597190388901
2025-05-12,559.4677734375,SELL,166.0,539.3617534981225,93411.01214412312,-118.39066548798291,-6.5889878558768835
2025-05-13,577.9567260742188,HOLD,166.0,539.4426577611473,96480.25918608146,3069.2470419583406,-3.519740813918543
2025-05-14,581.7734985351562,HOLD,166.0,539.5235741598115,97113.92433099575,633.6651449142955,-2.886075669004247
2025-05-15,582.5170288085938,HOLD,166.0,539.6045026959355,97237.4312849225,123.50695392674243,-2.7625687150775047
2025-05-16,585.3622436523438,HOLD,166.0,539.6854433713398,97709.81788966041,472.3866047379124,-2.2901821103395923
2025-05-19,589.0699462890625,BUY,166.0,539.7663961878455,98325.37748017222,615.5595905118098,-1.6746225198277824
2025-05-20,589.7142944335938,BUY,166.0,539.8473611472738,98432.42023712384,107.04275695161778,-1.567579762876165
2025-05-21,587.7315673828125,BUY,166.0,539.9283382514459,98103.36852379832,-329.0517133255198,-1.8966314762016847
2025-05-22,577.8277587890625,HOLD,166.0,540.0093275021836,96459.41728648655,-1643.9512373117614,-3.5405827135134462
2025-05-23,578.0558471679688,HOLD,166.0,540.0903289013089,96497.36095878412,37.94367229756608,-3.50263904121588
