Entry_Date,Exit_Date,Ticker,Direction,Entry_Price,Exit_Price,Shares,P&L,Win
2025-04-22,2025-04-28,AMGN,SHORT,271.8019714355469,276.38079833984375,12,-54.890976928710934,False
2025-04-22,2025-04-28,C,LONG,63.242427825927734,66.8968734741211,53,193.4919337348938,True
2025-04-22,2025-04-28,PRU,LONG,96.42989349365234,99.70162963867188,35,114.39625431060792,True
2025-04-28,2025-05-05,ECL,LONG,237.2084197998047,253.15597534179688,73,1163.0073830108643,True
2025-04-28,2025-05-05,WELL,LONG,147.1347198486328,148.99053955078125,142,263.262871307373,True
2025-04-28,2025-05-05,MMC,LONG,218.5327911376953,224.58938598632812,120,726.0645904541016,True
2025-04-28,2025-05-05,MA,LONG,532.2644653320312,558.78369140625,49,1298.142635559082,True
2025-04-29,2025-05-05,KVUE,LONG,22.67169952392578,22.9238224029541,158,39.795579471588134,True
2025-04-29,2025-05-05,FAST,LONG,39.74469757080078,40.80415725708008,90,95.25602039337159,True
2025-04-29,2025-05-05,VLO,SHORT,112.90750885009766,116.64112091064453,31,-115.62623190307617,False
2025-04-29,2025-05-05,AFL,LONG,106.86012268066406,104.0557861328125,33,-92.45056297302246,False
2025-05-05,2025-05-12,FTV,LONG,50.75824737548828,55.376731872558594,355,1637.922434463501,True
2025-05-05,2025-05-12,VLO,SHORT,116.64112091064453,127.5389633178711,185,-2014.084744491577,False
2025-05-05,2025-05-12,DOV,LONG,171.5496063232422,182.02976989746094,157,1643.7402954711913,True
2025-05-05,2025-05-12,MA,LONG,558.78369140625,575.8622436523438,48,818.9507373046876,True
2025-05-06,2025-05-12,DGX,LONG,173.7449951171875,173.5377960205078,21,-4.346829849243164,False
2025-05-06,2025-05-12,UAL,LONG,73.5199966430664,78.62000274658203,50,254.74530487060548,True
2025-05-06,2025-05-12,ISRG,LONG,530.4600219726562,561.4299926757812,6,185.63400439453125,True
2025-05-06,2025-05-12,ECL,LONG,250.72462463378906,252.54067993164062,14,25.399349395751955,True
