entry_idx,exit_idx,entry_price,exit_price,position,pnl,return_pct,prediction,correct
4764,4824,561.04,561.1,5,0.20000000000029555,0.007129616426646784,0.039522044923599634,True
4826,4886,561.08,561.05,5,-0.25000000000043204,-0.008911385185728666,0.0358491858164483,False
4886,4946,561.05,561.0,8,-0.5599999999996362,-0.012476606363061141,0.0736709161044489,False
4946,5006,561.0,560.55,5,-2.3500000000002275,-0.08377896613191542,0.03697569110409802,False
5006,5066,560.55,561.8,5,6.15,0.2194273481402194,0.03555226572903768,True
5107,5167,562.17,558.52,5,-18.349999999999888,-0.6528274365405442,0.03734018340874693,False
5177,5237,558.61,557.23,5,-6.999999999999977,-0.25062207980523,0.03878968987782266,False
5239,5299,557.12,556.78,5,-1.8000000000001593,-0.06461803561172312,0.036321563854458894,False
5334,5394,555.93,556.87,7,6.440000000000381,0.16548846077744583,0.045639401319618106,True
5408,5468,557.342,556.455,-5,4.334999999999718,0.1555597819651029,-0.04023085474890997,True
5483,5543,556.78,556.37,5,-2.149999999999841,-0.07722978555263628,0.041283071645205845,False
5543,5603,556.37,556.9599,7,3.9892999999996026,0.10243183492998242,0.05383619542484062,True
5692,5752,557.08,556.92,7,-1.2600000000005729,-0.03231133768939503,0.04390334041438872,False
5752,5812,556.92,557.17,8,1.84,0.04129857071033542,0.05924544849540707,True
5814,5874,557.15,559.46,5,11.450000000000296,0.4110203715337089,0.03522558777464717,True
5876,5936,559.78,561.475,5,8.37500000000025,0.2992246954160653,0.039611766055652906,True
5971,6031,560.75,561.58,-7,-5.950000000000287,-0.15158270173875008,-0.055269174376681544,False
6041,6101,561.85,563.35,8,11.84,0.26341550235828065,0.06718254667663069,True
6189,6249,561.487,559.65,-7,12.718999999999923,0.3236049988690725,-0.051228160051860136,True
6249,6309,559.65,559.46,5,-1.0499999999997043,-0.037523452157587935,0.03534570849837896,False
6309,6369,559.46,561.7,5,11.100000000000046,0.3968112108104259,0.0368146630018579,True
6468,6528,562.31,561.79,-5,2.499999999999909,0.08891892372534399,-0.03669234795948668,True
6528,6588,561.79,562.68,5,4.349999999999932,0.15486213709748953,0.0348133902719225,True
6588,6648,562.68,563.185,7,3.394999999999968,0.08619463993744143,0.047058138919875835,True
6667,6727,564.04,563.52,8,-4.319999999999855,-0.09573789092971807,0.066958583856195,False
6786,6846,561.961,560.96,5,-5.104999999999881,-0.18168520591286158,0.038255109239842745,False
6850,6910,561.22,562.12,5,4.399999999999887,0.15680125441003123,0.035838006411433664,True
6911,6971,561.98,561.31,5,-3.450000000000364,-0.12278017011282834,0.03537493307771071,False
7068,7128,562.27,560.64,-5,8.049999999999978,0.2863393031817446,-0.03626199319651166,True
7128,7188,560.64,562.31,5,8.249999999999796,0.2943065068493078,0.04152521576731797,True
7232,7292,562.32,562.57,-8,-2.16,-0.04801536491677336,-0.0941319557023857,False
7318,7378,563.08,562.77,5,-1.6500000000002957,-0.058606237124397796,0.037284871176654584,False
7383,7443,563.51,563.085,7,-3.114999999999682,-0.07896931731468022,0.04502917585105382,False
7478,7538,562.54,562.91,5,1.7500000000000226,0.06221779784548736,0.04029958578454286,True
7558,7618,562.72,563.9,5,5.79999999999975,0.20614159795279174,0.03659110077529256,True
7619,7679,563.885,564.385,7,3.36,0.08512373976963387,0.0460544038067342,True
7682,7742,564.525,564.63,5,0.4250000000000909,0.015056906248619314,0.03545046673661688,True
7753,7813,564.41,564.72,5,1.4500000000002955,0.051381088216023656,0.039522044923599634,True
7825,7885,564.62,560.49,7,-29.049999999999965,-0.7350076157415597,0.04869958849425923,False
7895,7955,560.36,560.98,7,4.200000000000031,0.10707402384181677,0.04826627066604331,True
7968,8028,560.66,559.62,5,-5.299999999999818,-0.18906289016515598,0.0359667805037118,False
8034,8094,559.56,559.0,7,-4.059999999999619,-0.10365287011222131,0.05013063530940835,False
8094,8154,559.0,559.32,5,1.50000000000025,0.05366726296959749,0.04026323765266426,True
8263,8323,557.83,557.235,7,-4.305000000000192,-0.11024864205941368,0.044481382761009935,False
8365,8425,557.84,558.2199,5,1.7995000000001027,0.06451670729958779,0.039590454466591415,True
8454,8514,557.34,556.64,7,-5.040000000000319,-0.12918505759501303,0.04817083890818315,False
8590,8650,557.43,558.0,5,2.75000000000025,0.09866709721400894,0.04166263586711982,True
8713,8773,557.89,557.5,7,-2.8699999999999046,-0.07349119001953545,0.04373939544012208,False
8773,8833,557.5,557.95,7,3.010000000000318,0.07713004484305748,0.044455972028099706,True
8855,8915,558.17,558.82,-8,-5.360000000000728,-0.12003511475000288,-0.06599900326045632,False
8920,8980,558.95,559.19,-5,-1.3000000000000456,-0.04651578853207069,-0.036115453239439786,False
8981,9041,559.425,555.9,-7,24.53499999999984,0.6265361755373782,-0.053505594011853036,True
9041,9101,555.9,553.54,-5,11.700000000000069,0.4209390178089609,-0.0362892768238285,True
9131,9191,553.96,554.35,5,1.8499999999999317,0.06679182612462747,0.0378578648816606,True
9207,9267,553.5599,552.46,5,-5.59949999999967,-0.20230872937146172,0.04059517436888838,False
9284,9344,550.7,552.91,-5,-11.149999999999613,-0.4049391683312008,-0.03795676174398311,False
9349,9409,553.12,553.72,7,4.060000000000159,0.1048597049464895,0.048758214855057255,True
9409,9469,553.72,553.87,-9,-1.5299999999997953,-0.03070143754965998,-0.06486373274052251,False
9495,9555,553.68,552.26,5,-7.199999999999795,-0.26007802340701475,0.03680408519488367,False
9556,9616,552.05,553.11,5,5.200000000000296,0.18838873290463892,0.03995072156590468,True
9660,9720,553.65,553.31,-9,2.8800000000002863,0.05779824799061353,-0.08059518785698938,True
9720,9780,553.31,552.61,5,-3.599999999999659,-0.13012596916736222,0.036362548641213,False
9801,9861,551.7301,550.45,5,-6.500499999999738,-0.2356405786089879,0.04184424471173162,False
9861,9921,550.45,550.09,7,-2.6600000000000956,-0.06903442637842012,0.044855709470653135,False
9924,9984,550.07,548.59,5,-7.500000000000091,-0.27269256640064315,0.03548675234011507,False
10073,10133,549.1677,548.39,5,-3.9884999999999082,-0.1452561758457356,0.03879225175752206,False
10147,10207,548.4,548.64,5,1.1000000000000456,0.04011670313639846,0.03499211674845799,True
10207,10267,548.64,548.93,5,1.349999999999818,0.04921259842519021,0.04066297509521769,True
10280,10340,548.93,551.11,7,15.120000000000445,0.3934927950740648,0.05127512059828637,True
10441,10501,552.17,552.31,-7,-1.1199999999999044,-0.02897658329861933,-0.052121217479702664,False
10541,10601,553.66,554.19,5,2.550000000000432,0.09211429397104476,0.035899208471496746,True
10604,10664,554.22,551.5511,7,-18.822300000000055,-0.48516834470066184,0.05171356610247743,False
10666,10726,551.18,552.38,5,5.900000000000228,0.2140861424580075,0.041672356680216016,True
10735,10795,553.43,554.49,7,7.280000000000413,0.18791897800987642,0.05383660469755955,True
10803,10863,554.53,554.47,5,-0.3999999999997272,-0.014426631561853363,0.04201403872296286,False
10876,10936,554.62,554.67,5,0.14999999999977262,0.005409108939445842,0.0379479098310569,True
10939,10999,554.43,554.15,7,-2.099999999999809,-0.05410962610247872,0.054905026055732005,False
11000,11060,554.16,554.53,9,3.1500000000000408,0.06315865454020582,0.07343239636728949,True
11069,11129,554.38,553.89,5,-2.5500000000000456,-0.09199466070204718,0.03656972775821665,False
11130,11190,554.12,555.21,7,7.490000000000222,0.1930989677326268,0.052417552071881694,True
11190,11250,555.21,554.45,5,-3.8999999999999546,-0.1404873831523191,0.03868571928727122,False
11252,11312,554.3,554.66,5,1.7000000000000681,0.06133862529316501,0.040208912453541856,True
11324,11384,555.42,554.91,-5,2.4499999999999544,0.08822152605235514,-0.042816963832868565,True
11408,11468,555.77,555.98,5,0.9500000000001819,0.034186803893703585,0.03734018340874693,True
11468,11528,555.98,554.535,5,-7.32500000000025,-0.26349868700313855,0.03593621056824448,False
11558,11618,554.6,555.01,5,1.9499999999998407,0.07032095203749877,0.03569706923469402,True
11653,11713,554.88,553.62,5,-6.399999999999954,-0.23068050749711486,0.03522558777464717,False
11713,11773,553.62,553.78,-9,-1.6199999999997134,-0.032513276254464825,-0.08477294742544475,False
11773,11833,553.78,551.7,7,-14.699999999999491,-0.37921196142871305,0.04431162827206483,False
11834,11894,551.72,551.53,5,-1.0500000000002727,-0.03806278547090091,0.036447196029518535,False
11894,11954,551.53,550.17,5,-6.900000000000068,-0.2502130437147596,0.03522558777464717,False
11955,12015,550.18,550.02,9,-1.6199999999997134,-0.032716565487652796,0.08973218647193415,False
12016,12076,550.22,549.94,5,-1.4999999999998637,-0.05452364508741461,0.038427032734267924,False
12082,12142,550.27,548.65,-9,14.400000000000041,0.29076635106402393,-0.07572379547053464,True
12160,12220,548.7302,545.71,5,-15.200999999999658,-0.5540427700170196,0.0348133902719225,False
12297,12357,545.02,544.1,5,-4.699999999999795,-0.17247073501889087,0.03558901110492125,False
12362,12422,543.7,544.8,7,7.559999999999363,0.19863895530621828,0.04571189247927963,True
12422,12482,544.8,542.923,5,-9.484999999999763,-0.34820117474301626,0.03593569903061091,False
12548,12608,541.95,542.39,-5,-2.2999999999997045,-0.084878678844901,-0.03777484332541688,False
12640,12700,542.11,542.83,7,4.90000000000019,0.12912508531479355,0.04373939544012208,True
12745,12805,542.5,541.62,5,-4.499999999999977,-0.16589861751151988,0.0359667805037118,False
12810,12870,541.9,539.72,5,-10.99999999999975,-0.40597896290827645,0.037220490226838064,False
12870,12930,539.72,541.2,5,7.300000000000091,0.2705106351441522,0.03989046242094966,True
12942,13002,540.41,540.95,5,2.6000000000003864,0.09622323791197006,0.04260920438030625,True
13005,13065,540.79,540.345,-9,3.824999999999427,0.07858873130049304,-0.06577050735121194,True
13065,13125,540.345,540.71,-9,-3.465000000000082,-0.0712507749678463,-0.07989960218596152,False
13128,13188,540.905,543.19,7,15.855000000000572,0.4187426627596494,0.04515140703725755,True
13196,13256,543.33,546.27,-5,-14.799999999999704,-0.5447886183350709,-0.04020207568273409,False
13272,13332,546.73,544.15,-9,23.04000000000037,0.46823843579098295,-0.05923147006740009,True
13338,13398,543.57,541.0,5,-12.95000000000025,-0.4764795702485512,0.04221585817455602,False
13398,13458,541.0,538.1,-7,20.15999999999984,0.5323475046210678,-0.04801127373691026,True
13458,13518,538.1,538.62,-9,-4.859999999999836,-0.10035309422040174,-0.27068362790457173,False
13551,13611,539.06,538.94,-9,0.8999999999990177,0.018550810670406054,-0.09436799894030515,True
13641,13701,541.85,542.55,-9,-6.479999999999386,-0.13287810279596413,-0.08913004612106933,False
13701,13761,542.55,542.75,5,0.9000000000002274,0.033176665745101,0.040364106507777484,True
13770,13830,542.57,542.99,5,1.9999999999997953,0.07372320622223105,0.03494810201318363,True
13839,13899,543.29,541.69,-9,14.219999999999182,0.2908207403044248,-0.08772456630838976,True
13899,13959,541.69,543.02,-9,-12.149999999999345,-0.24922003359853917,-0.206114508405595,False
13959,14019,543.02,543.36,-5,-1.8000000000001593,-0.06629590070347903,-0.042106588139394184,False
14031,14091,543.8401,546.15,-7,-16.309299999999794,-0.4284163672373499,-0.04875885298043172,False
14091,14151,546.15,544.32,-7,12.66999999999949,0.3314107845829767,-0.05424687217085875,True
14151,14211,544.32,543.7,-9,5.400000000000041,0.1102292768959444,-0.17935604539483863,True
14213,14273,544.36,544.47,-5,-0.6500000000000682,-0.023881255051806455,-0.037328544089018124,False
