Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,Signal,P&L,P&L%,Win
2025-08-29,2025-09-08,641.3713989257812,645.1298217773438,150,0.5506351837393099,370.788244628915,0.38599788794095885,True
2025-09-08,2025-09-15,645.1298217773438,657.1409301757812,149,0.5278422727918367,1595.6168093261804,1.6618126139862355,True
2025-09-15,2025-09-22,657.1409301757812,664.8753662109375,149,0.526860108078718,955.4505410766724,0.9769828479695211,True
2025-09-22,2025-09-29,664.8753662109375,661.7246704101562,148,0.5243535428441222,-662.6397839355341,-0.6738776560089363,False
2025-10-01,2025-10-08,666.4806518554688,671.1268920898438,147,0.5263280769080299,486.36900549317943,0.49713055006772605,True
2025-10-08,2025-10-15,671.1268920898438,663.2102661132812,147,0.5393029790155612,-1359.891580810523,-1.379601960504173,False
2025-10-15,2025-10-22,663.2102661132812,665.83251953125,147,0.5231494385125334,190.1019629516668,0.19538794134421628,True
2025-10-22,2025-10-29,665.83251953125,685.3648071289062,146,0.5223926528284188,2654.4391795654374,2.7335136126134474,True
2025-10-29,2025-11-05,685.3648071289062,675.583740234375,146,0.5638408795482585,-1626.7342545165884,-1.6271329360352693,False
2025-11-05,2025-11-12,675.583740234375,681.3666381835938,146,0.582349704825418,646.1883453369228,0.6559853656650463,True
2025-11-12,2025-11-19,681.3666381835938,660.6777954101562,145,0.5358750045534112,-3194.4786450195243,-3.2363744882770273,False
2025-11-19,2025-11-26,660.6777954101562,677.6775512695312,145,0.5380213291680416,2270.903074340822,2.3730781293809677,True
2025-11-28,2025-12-05,681.3765869140625,683.6697998046875,144,0.532623604525425,133.6559765625134,0.1365558686145853,True
2025-12-05,2025-12-12,683.6697998046875,679.7514038085938,144,0.5356063506221064,-760.5816767577926,-0.7731415951404028,False
2025-12-12,2025-12-19,679.7514038085938,680.5900268554688,143,0.5380069404713955,-74.60572888181196,-0.07662797867333798,False
2025-12-19,2025-12-29,680.5900268554688,687.8499755859375,143,0.5282971022291545,842.4857481079234,0.8667139458407693,True
2025-12-30,2026-01-07,687.010009765625,689.5800170898438,143,0.5371051717791963,170.65867352296482,0.17408586304230605,True
2026-01-07,2026-01-12,689.5800170898438,695.1599731445312,143,0.5268622741866903,599.9158972168079,0.609181808695092,True
