Date,Predicted_Price,Actual_Price,Predicted_Change,Actual_Change,Predicted_Change_Pct,Signal,Signal_Strength,Mean_Reversion_Signal,Signal_Source
2025-06-30,601.1558717322033,614.3264770507812,-13.17060531857799,2.9232177734375,-2.15,-1,2.15,0.02893796106090154,Model
2025-07-01,601.167924092242,614.127685546875,-12.959761454633034,-0.19879150390625,-2.11,-1,2.11,0.026324345912501258,Model
2025-07-02,604.2392231353225,616.9117431640625,-12.672520028739982,2.7840576171875,-2.06,-1,2.06,0.02874477824581833,Model
2025-07-03,608.6977133708926,621.7738647460938,-13.07615137520107,4.86212158203125,-2.12,-1,2.12,0.03418058964896817,Model
2025-07-07,603.6032888974576,617.1403198242188,-13.537030926761135,-4.633544921875,-2.18,-1,2.18,0.023986209318843116,Model
2025-07-08,607.0090203563598,616.8023681640625,-9.793347807702784,-0.33795166015625,-1.59,-1,1.59,0.021490304449635494,Model
2025-07-09,617.9296265638599,620.5010986328125,-2.5714720689526516,3.69873046875,-0.42,1,0.42,0.02540828425064143,Model
2025-07-10,612.1179500580124,622.2510375976562,-10.133087539643792,1.74993896484375,-1.63,-1,1.63,0.02623303251319998,Model
2025-07-11,610.2333003751454,620.0636596679688,-9.830359292823305,-2.1873779296875,-1.58,-1,1.58,0.020614469882570555,Model
2025-07-14,617.7808673972806,621.246826171875,-3.4659587745943075,1.18316650390625,-0.56,1,0.56,0.020654379378724476,Model
2025-07-15,614.6448349079155,618.592041015625,-3.9472061077094627,-2.65478515625,-0.64,-1,0.64,0.014064812152270095,Model
2025-07-16,617.5951709201586,620.66015625,-3.0649853298414502,2.068115234375,-0.5,1,0.5,0.015525348324687433,Model
2025-07-17,619.7673890359937,624.4583740234375,-4.690984987443813,3.7982177734375,-0.76,-1,0.76,0.01906489969503382,Model
2025-07-18,618.6981443282904,624.0010375976562,-5.302893269365861,-0.45733642578125,-0.85,-1,0.85,0.01568980661616007,Model
2025-07-21,620.5442616277656,625.1842651367188,-4.640003508953096,1.1832275390625,-0.74,-1,0.74,0.01478352482436965,Model
2025-07-22,621.3114055196194,625.2737426757812,-3.962337156161826,0.0894775390625,-0.63,1,0.63,0.012582831610959893,Model
2025-07-23,627.7823489880575,630.5932006835938,-2.8108516955363125,5.3194580078125,-0.45,1,0.45,0.01894707155257492,Model
2025-07-24,616.4089401304193,630.802001953125,-14.393061822705661,0.20880126953125,-2.28,-1,2.28,0.01705400224270169,Model
2025-07-25,616.7705044687912,633.4667358398438,-16.69623137105257,2.66473388671875,-2.65,-1,2.65,0.019289052711541178,Model
2025-07-28,616.7963539588284,633.3076782226562,-16.511324263827927,-0.1590576171875,-2.61,-1,2.61,0.017240454637807472,Model
2025-07-29,615.7024546599561,631.6372680664062,-15.934813406450225,-1.67041015625,-2.52,-1,2.52,0.013148845174476382,Model
2025-07-30,618.2367140694115,630.841796875,-12.605082805588545,-0.79547119140625,-2.0,-1,2.0,0.010518331204294544,Model
2025-07-31,625.4792809325395,628.475341796875,-2.9960608643355013,-2.366455078125,-0.47,1,0.47,0.005796078975349433,Model
2025-08-01,618.3032573400257,618.1743774414062,0.12887989861941412,-10.30096435546875,0.02,-1,0.02,-0.010404294738521811,Model
2025-08-04,633.4428040476878,627.570556640625,5.872247407062796,9.39617919921875,0.95,1,0.95,0.0037994189666042816,Model
2025-08-05,626.2022486786583,624.3887939453125,1.8134547333457978,-3.1817626953125,0.29,1,0.29,-0.0018953866683052284,Model
2025-08-06,631.7245905350647,629.17138671875,2.5532038163147868,4.7825927734375,0.41,1,0.41,0.005053246495912628,Model
2025-08-07,629.9994566293715,628.6444091796875,1.3550474496840081,-0.5269775390625,0.22,0,0.22,0.0036989051407421603,None
2025-08-08,634.6086290705166,633.5462646484375,1.0623644220791442,4.90185546875,0.17,-1,0.17,0.010437692158583124,Model
2025-08-11,625.197426812897,632.29345703125,-7.096030218353,-1.2528076171875,-1.12,-1,1.12,0.007552037999086796,Model
2025-08-12,637.4797147604785,639.0248413085938,-1.5451265481152159,6.73138427734375,-0.24,-1,0.24,0.01662338459067917,Model
2025-08-13,632.1399678343356,641.2123413085938,-9.07237347425809,2.1875,-1.42,-1,1.42,0.018438508865657652,Model
2025-08-14,630.9617342948476,641.27197265625,-10.31023836140246,0.05963134765625,-1.61,-1,1.61,0.017175035225637243,Model
2025-08-15,630.6885150916994,639.7705688476562,-9.082053755956832,-1.50140380859375,-1.42,-1,1.42,0.013525948239151642,Model
2025-08-18,629.5040914458845,639.6314086914062,-10.12731724552174,-0.13916015625,-1.58,-1,1.58,0.012147229773930198,Model
2025-08-19,634.7187220162878,636.1612548828125,-1.44253286652477,-3.47015380859375,-0.23,-1,0.23,0.00578968568861232,Model
