entry_idx,exit_idx,entry_time,exit_time,entry_price,exit_price,position,pnl,return_pct,prediction,correct
41902,41962,2024-09-16 13:03:00+00:00,2024-09-16 14:05:00+00:00,561.57,562.45,5,4.299999999999978,0.1567035276100923,0.033538866483685065,True
41962,42022,2024-09-16 14:05:00+00:00,2024-09-16 15:05:00+00:00,562.45,560.63,7,-12.88000000000035,-0.3235843186061072,0.03894959541099734,False
42037,42097,2024-09-16 15:20:00+00:00,2024-09-16 16:20:00+00:00,561.1,560.5399,5,-2.90050000000017,-0.09982177864908823,0.03498259790776187,False
42545,42605,2024-09-17 09:49:00+00:00,2024-09-17 11:23:00+00:00,564.8,564.21,-5,2.8499999999995906,0.1044617563739232,-0.03118392433572768,True
42605,42665,2024-09-17 11:23:00+00:00,2024-09-17 12:27:00+00:00,564.21,565.0,7,5.389999999999745,0.14001878733095185,0.04026323765266426,True
42668,42728,2024-09-17 12:30:00+00:00,2024-09-17 13:30:00+00:00,565.2,565.11,-5,0.35000000000015913,0.015923566878986523,-0.034600694577326285,True
42767,42827,2024-09-17 14:09:00+00:00,2024-09-17 15:09:00+00:00,565.83,565.5398,9,-2.791800000000244,-0.05128748917519876,0.05113800040408159,False
43320,43380,2024-09-18 10:07:00+00:00,2024-09-18 12:06:00+00:00,563.82,563.18,-5,3.1000000000005,0.11351140434892341,-0.030368320275367473,True
43382,43442,2024-09-18 12:08:00+00:00,2024-09-18 13:15:00+00:00,563.31,563.93,5,3.0000000000000226,0.11006373045037449,0.03482585033209374,True
43457,43517,2024-09-18 13:30:00+00:00,2024-09-18 14:30:00+00:00,563.18,562.77,-5,1.9499999999998407,0.07280088071308785,-0.03159572172834772,True
43521,43581,2024-09-18 14:34:00+00:00,2024-09-18 15:34:00+00:00,562.51,562.36,5,-0.8499999999998863,-0.026666192601016384,0.030533087628781395,False
44157,44217,2024-09-19 10:11:00+00:00,2024-09-19 11:15:00+00:00,570.17,570.235,-5,-0.4250000000002729,-0.011400108739508318,-0.0329769224216415,False
44232,44292,2024-09-19 11:31:00+00:00,2024-09-19 12:31:00+00:00,570.3,570.37,5,0.2500000000002501,0.01227424162722252,0.036058824300476015,True
44292,44352,2024-09-19 12:31:00+00:00,2024-09-19 13:31:00+00:00,570.37,570.44,5,0.2500000000002501,0.012272735242044641,0.03442096318605149,True
44367,44427,2024-09-19 13:46:00+00:00,2024-09-19 14:46:00+00:00,568.56,570.24,-10,-17.000000000000636,-0.29548332629802726,-0.24478909992000017,False
44449,44509,2024-09-19 15:08:00+00:00,2024-09-19 16:08:00+00:00,569.65,571.25,-7,-11.34000000000016,-0.28087422101290666,-0.04031787711151075,False
44975,45035,2024-09-20 09:45:00+00:00,2024-09-20 11:26:00+00:00,568.1,567.94,9,-1.6199999999997134,-0.02816405562400425,0.055470760883683586,False
45036,45096,2024-09-20 11:28:00+00:00,2024-09-20 12:31:00+00:00,567.8,568.75,10,9.300000000000455,0.1673124339556262,0.05884571105285364,True
45098,45158,2024-09-20 12:33:00+00:00,2024-09-20 13:33:00+00:00,568.791,567.89,-5,4.405000000000337,0.1584061632480238,-0.03129350826826091,True
45184,45244,2024-09-20 13:59:00+00:00,2024-09-20 14:59:00+00:00,567.149,566.395,-9,6.606000000000172,0.1329456633089398,-0.04860898697214605,True
45813,45873,2024-09-23 10:03:00+00:00,2024-09-23 11:47:00+00:00,569.17,569.03,-5,0.5999999999999318,0.024597220514079515,-0.03293689094093513,True
45881,45941,2024-09-23 11:57:00+00:00,2024-09-23 13:06:00+00:00,569.15,569.43,-5,-1.4999999999998637,-0.04919616972678077,-0.0329769224216415,False
45943,46003,2024-09-23 13:08:00+00:00,2024-09-23 14:08:00+00:00,569.45,569.5101,7,0.2806999999994423,0.010554043375172592,0.03826074980843236,True
46006,46066,2024-09-23 14:11:00+00:00,2024-09-23 15:11:00+00:00,569.5285,569.17,-10,3.385000000000491,0.0629468059983037,-0.06636814532280927,True
46071,46131,2024-09-23 15:16:00+00:00,2024-09-23 16:16:00+00:00,569.03,568.78,5,-1.35,-0.043934414705727294,0.03327998822264059,False
46513,46573,2024-09-24 09:47:00+00:00,2024-09-24 11:37:00+00:00,570.68,570.36,9,-3.059999999999427,-0.05607345622764708,0.055359514293399345,False
46573,46633,2024-09-24 11:37:00+00:00,2024-09-24 12:50:00+00:00,570.36,570.18,7,-1.4000000000004456,-0.03155901535873197,0.037914891196678395,False
46647,46707,2024-09-24 13:04:00+00:00,2024-09-24 14:04:00+00:00,570.44,568.2,-5,11.100000000000046,0.39267933524998405,-0.03337665986419493,True
46707,46767,2024-09-24 14:04:00+00:00,2024-09-24 15:04:00+00:00,568.2,569.51,-10,-13.299999999999454,-0.23055262231607623,-0.06229424965103701,False
46771,46831,2024-09-24 15:08:00+00:00,2024-09-24 16:08:00+00:00,569.495,570.681,7,8.162000000000248,0.20825468177947754,0.03748972545661175,True
47243,47303,2024-09-25 09:47:00+00:00,2024-09-25 11:48:00+00:00,570.41,570.87,5,2.200000000000182,0.08064374747988927,0.033783298531591066,True
47313,47373,2024-09-25 12:01:00+00:00,2024-09-25 13:10:00+00:00,571.12,571.15,-10,-0.4999999999997272,-0.005252836531722355,-0.2205067725451775,False
47392,47452,2024-09-25 13:30:00+00:00,2024-09-25 14:30:00+00:00,571.78,571.14,-10,6.199999999999863,0.1119311623351615,-0.11249422846476077,True
47461,47521,2024-09-25 14:39:00+00:00,2024-09-25 15:39:00+00:00,571.29,571.12,5,-0.9499999999997953,-0.02975721612490313,0.035681951587546,False
48025,48085,2024-09-26 10:03:00+00:00,2024-09-26 11:36:00+00:00,574.4,574.6,5,0.9000000000002274,0.03481894150418619,0.03236399684105882,True
48094,48154,2024-09-26 11:46:00+00:00,2024-09-26 12:47:00+00:00,574.43,574.6,5,0.7500000000003638,0.02959455460196591,0.03482585033209374,True
48157,48217,2024-09-26 12:50:00+00:00,2024-09-26 13:50:00+00:00,574.54,573.47,5,-5.449999999999681,-0.18623594527795043,0.03170140315496946,False
48258,48318,2024-09-26 14:31:00+00:00,2024-09-26 15:31:00+00:00,572.57,571.03,-9,13.680000000000696,0.26896274691305466,-0.051019556791548376,True
48806,48866,2024-09-27 09:48:00+00:00,2024-09-27 11:59:00+00:00,572.42,572.64,5,1.0000000000001366,0.038433318192940026,0.03155072539199481,True
48866,48926,2024-09-27 11:59:00+00:00,2024-09-27 13:00:00+00:00,572.64,573.43,-5,-4.049999999999818,-0.13795753003631664,-0.030368320275367473,False
48936,48996,2024-09-27 13:10:00+00:00,2024-09-27 14:10:00+00:00,573.66,573.27,8,-3.279999999999891,-0.06798452044764954,0.04713072554948957,False
49010,49070,2024-09-27 14:24:00+00:00,2024-09-27 15:24:00+00:00,573.74,573.0499,5,-3.5505000000001474,-0.12028096350263698,0.03452816945830549,False
49076,49136,2024-09-27 15:30:00+00:00,2024-09-27 16:30:00+00:00,572.995,572.2,8,-6.519999999999673,-0.13874466618381645,0.044135619006061895,False
49580,49640,2024-09-30 10:34:00+00:00,2024-09-30 11:46:00+00:00,571.01,569.93,5,-5.500000000000204,-0.18913854398347507,0.0346216440550234,False
49640,49700,2024-09-30 11:46:00+00:00,2024-09-30 12:52:00+00:00,569.93,570.37,9,3.780000000000491,0.07720246346043455,0.055470760883683586,True
49707,49767,2024-09-30 13:01:00+00:00,2024-09-30 14:03:00+00:00,570.07,570.91,5,4.099999999999591,0.1473503253986209,0.03482585033209374,True
49770,49830,2024-09-30 14:06:00+00:00,2024-09-30 15:06:00+00:00,571.02,571.53,5,2.4499999999999544,0.08931385940947618,0.031916613851734464,True
49838,49898,2024-09-30 15:14:00+00:00,2024-09-30 16:14:00+00:00,571.59,572.0644,5,2.27199999999973,0.08299655347363424,0.03328163351360265,True
50399,50459,2024-10-01 10:15:00+00:00,2024-10-01 11:32:00+00:00,573.6,573.73,-5,-0.7499999999999772,-0.022663877266386932,-0.03351378566098202,False
50462,50522,2024-10-01 11:35:00+00:00,2024-10-01 12:48:00+00:00,573.6,573.39,5,-1.1500000000001818,-0.03661087866109421,0.0351751034188444,False
50522,50582,2024-10-01 12:48:00+00:00,2024-10-01 13:51:00+00:00,573.39,568.86,5,-22.74999999999986,-0.7900381938994354,0.03636651794626523,False
50582,50642,2024-10-01 13:51:00+00:00,2024-10-01 14:51:00+00:00,568.86,567.77,-10,10.700000000000319,0.1916112927609661,-0.2898759770548736,True
50660,50720,2024-10-01 15:09:00+00:00,2024-10-01 16:09:00+00:00,566.2699,569.1199,-9,-25.830000000000204,-0.5032935707866554,-0.0580217183573325,False
51205,51265,2024-10-02 09:45:00+00:00,2024-10-02 11:05:00+00:00,567.2,567.68,5,2.2999999999995224,0.08462623413256425,0.0359667805037118,True
51266,51326,2024-10-02 11:07:00+00:00,2024-10-02 12:15:00+00:00,567.33,567.76,5,2.04999999999975,0.07579362980980205,0.03684825948533237,True
51328,51388,2024-10-02 12:17:00+00:00,2024-10-02 13:19:00+00:00,567.4,567.57,5,0.7500000000003638,0.029961226647880288,0.03150037368730291,True
51388,51448,2024-10-02 13:19:00+00:00,2024-10-02 14:19:00+00:00,567.57,568.46,5,4.349999999999932,0.1568088517715852,0.03401327138045707,True
51457,51517,2024-10-02 14:28:00+00:00,2024-10-02 15:28:00+00:00,568.25,569.32,5,5.2500000000002505,0.18829740431149145,0.03245353772122282,True
51993,52053,2024-10-03 09:48:00+00:00,2024-10-03 11:41:00+00:00,567.0,567.93,5,4.54999999999975,0.16402116402115519,0.031198810552453642,True
52064,52124,2024-10-03 11:52:00+00:00,2024-10-03 12:56:00+00:00,568.12,567.64,-5,2.300000000000091,0.08448919242413894,-0.030368320275367473,True
52124,52184,2024-10-03 12:56:00+00:00,2024-10-03 13:56:00+00:00,567.64,567.78,7,0.8399999999999045,0.024663519131841727,0.039522044923599634,True
52188,52248,2024-10-03 14:00:00+00:00,2024-10-03 15:00:00+00:00,568.58,566.6699,-9,17.01090000000051,0.33594217172606433,-0.04973966275614009,True
52248,52308,2024-10-03 15:00:00+00:00,2024-10-03 16:00:00+00:00,566.6699,568.51,-10,-18.601000000000067,-0.3247216765880818,-0.08350622913566487,False
52796,52856,2024-10-04 09:53:00+00:00,2024-10-04 11:34:00+00:00,568.7,569.66,-5,-4.899999999999613,-0.16880604888340472,-0.03351378566098202,False
52879,52939,2024-10-04 12:01:00+00:00,2024-10-04 13:01:00+00:00,569.53,572.98,-10,-34.70000000000046,-0.6057626463926475,-0.2670167979162194,False
52944,53004,2024-10-04 13:06:00+00:00,2024-10-04 14:06:00+00:00,572.75,570.93,5,-9.20000000000025,-0.3177651680488957,0.032007204069339004,False
53005,53065,2024-10-04 14:07:00+00:00,2024-10-04 15:07:00+00:00,570.63,570.5766,-8,0.26720000000008437,0.009358077913886504,-0.05230790956416979,True
53065,53125,2024-10-04 15:07:00+00:00,2024-10-04 16:07:00+00:00,570.5766,570.44,8,-1.2527999999994426,-0.023940694378271093,0.045539858501767824,False
53585,53645,2024-10-07 09:45:00+00:00,2024-10-07 11:21:00+00:00,569.94,570.235,5,1.3749999999997953,0.051759834368522835,0.03636651794626523,True
53673,53733,2024-10-07 11:53:00+00:00,2024-10-07 12:59:00+00:00,570.6,570.88,-5,-1.4999999999998637,-0.049071153172094754,-0.033114048218428595,False
53741,53801,2024-10-07 13:08:00+00:00,2024-10-07 14:10:00+00:00,571.24,571.11,-5,0.5499999999999773,0.02275750997829204,-0.03656247557774044,True
53801,53861,2024-10-07 14:10:00+00:00,2024-10-07 15:10:00+00:00,571.11,571.23,5,0.5000000000000228,0.02101171403057284,0.03683356939769788,True
53868,53928,2024-10-07 15:17:00+00:00,2024-10-07 16:17:00+00:00,571.46,571.03,5,-2.2500000000003184,-0.07524586147762986,0.03126617045705743,False
54394,54454,2024-10-08 09:45:00+00:00,2024-10-08 11:22:00+00:00,569.82,569.83,-5,-0.14999999999995453,-0.0017549401565390658,-0.03315547742823836,False
54463,54523,2024-10-08 11:32:00+00:00,2024-10-08 12:43:00+00:00,570.13,569.66,-5,2.2500000000001363,0.08243733885254718,-0.03085420963812504,True
54523,54583,2024-10-08 12:43:00+00:00,2024-10-08 13:45:00+00:00,569.66,569.7,5,0.10000000000038653,0.007021732261362447,0.0348133902719225,True
54593,54653,2024-10-08 13:55:00+00:00,2024-10-08 14:55:00+00:00,570.6201,571.9601,-8,-10.880000000000255,-0.23483224653320692,-0.04329367499793345,False
54653,54713,2024-10-08 14:55:00+00:00,2024-10-08 15:55:00+00:00,571.9601,572.27,-5,-1.6494999999998528,-0.05418210116404457,-0.030046591167890723,False
55182,55242,2024-10-09 10:12:00+00:00,2024-10-09 11:57:00+00:00,572.82,572.88,-5,-0.3999999999997272,-0.01047449460562575,-0.033114048218428595,False
55243,55303,2024-10-09 11:58:00+00:00,2024-10-09 13:06:00+00:00,572.7,573.29,7,3.989999999999427,0.1030207787672286,0.039122307481046205,True
55303,55363,2024-10-09 13:06:00+00:00,2024-10-09 14:07:00+00:00,573.29,573.93,-5,-3.299999999999932,-0.11163634460743888,-0.0329769224216415,False
55363,55423,2024-10-09 14:07:00+00:00,2024-10-09 15:07:00+00:00,573.93,575.32,5,6.850000000000501,0.24218981408884363,0.03270473879355575,True
